Date,Hour,Name,State,UserActivity
20200101,29835,SensorGeladeira,False,cook
20200101,29835,SensorMesaJantar (1),False,cook
20200101,29835,SensorSofa (2),False,cook
20200101,29835,SensorCama (3),False,cook
20200101,29835,SensorMesaCorredor,False,cook
20200101,29835,SensorSofa,False,cook
20200101,29835,SensorDeTestes,False,cook
20200101,29865,SensorBaseBox,False,cook
20200101,29865,SensorArmario (2),False,cook
20200101,29865,SensorCama,False,cook
20200101,29865,SensorFogao,True,cook
20200101,29865,SensorMesaJantar (4),False,cook
20200101,29865,SensorCama (4),False,cook
20200101,29865,SensorMesaJantar (3),False,cook
20200101,29865,SensorCama (5),False,cook
20200101,29865,SensorMesaJantar,False,cook
20200101,29865,SensorCama (2),False,cook
20200101,29865,SensorSofa (1),False,cook
20200101,29865,SensorPia,False,cook
20200101,29865,SensorMesaJantar (2),False,cook
20200101,29865,SensorRack,False,cook
20200101,29865,SensorCama (1),False,cook
20200101,29865,SensorArmario,False,cook
20200101,29865,SensorRack (1),False,cook
20200101,29865,SensorArmario (1),False,cook
20200101,29865,SensorGeladeira,False,cook
20200101,29865,SensorMesaJantar (1),False,cook
20200101,29865,SensorSofa (2),False,cook
20200101,29865,SensorCama (3),False,cook
20200101,29865,SensorMesaCorredor,False,cook
20200101,29865,SensorSofa,False,cook
20200101,29865,SensorDeTestes,False,cook
20200101,29895,SensorBaseBox,False,cook
20200101,29895,SensorArmario (2),False,cook
20200101,29895,SensorCama,False,cook
20200101,29895,SensorFogao,True,cook
20200101,29895,SensorMesaJantar (4),False,cook
20200101,29895,SensorCama (4),False,cook
20200101,29895,SensorMesaJantar (3),False,cook
20200101,29895,SensorCama (5),False,cook
20200101,29895,SensorMesaJantar,False,cook
20200101,29895,SensorCama (2),False,cook
20200101,29895,SensorSofa (1),False,cook
20200101,29895,SensorPia,False,cook
20200101,29895,SensorMesaJantar (2),False,cook
20200101,29895,SensorRack,False,cook
20200101,29895,SensorCama (1),False,cook
20200101,29895,SensorArmario,False,cook
20200101,29895,SensorRack (1),False,cook
20200101,29895,SensorArmario (1),False,cook
20200101,29895,SensorGeladeira,False,cook
20200101,29895,SensorMesaJantar (1),False,cook
20200101,29895,SensorSofa (2),False,cook
20200101,29895,SensorCama (3),False,cook
20200101,29895,SensorMesaCorredor,False,cook
20200101,29895,SensorSofa,False,cook
20200101,29895,SensorDeTestes,False,cook
20200101,29925,SensorBaseBox,False,cook
20200101,29925,SensorArmario (2),False,cook
20200101,29925,SensorCama,False,cook
20200101,29925,SensorFogao,True,cook
20200101,29925,SensorMesaJantar (4),False,cook
20200101,29925,SensorCama (4),False,cook
20200101,29925,SensorMesaJantar (3),False,cook
20200101,29925,SensorCama (5),False,cook
20200101,29925,SensorMesaJantar,False,cook
20200101,29925,SensorCama (2),False,cook
20200101,29925,SensorSofa (1),False,cook
20200101,29925,SensorPia,False,cook
20200101,29925,SensorMesaJantar (2),False,cook
20200101,29925,SensorRack,False,cook
20200101,29925,SensorCama (1),False,cook
20200101,29925,SensorArmario,False,cook
20200101,29925,SensorRack (1),False,cook
20200101,29925,SensorArmario (1),False,cook
20200101,29925,SensorGeladeira,False,cook
20200101,29925,SensorMesaJantar (1),False,cook
20200101,29925,SensorSofa (2),False,cook
20200101,29925,SensorCama (3),False,cook
20200101,29925,SensorMesaCorredor,False,cook
20200101,29925,SensorSofa,False,cook
20200101,29925,SensorDeTestes,False,cook
20200101,29955,SensorBaseBox,False,cook
20200101,29955,SensorArmario (2),False,cook
20200101,29955,SensorCama,False,cook
20200101,29955,SensorFogao,True,cook
20200101,29955,SensorMesaJantar (4),False,cook
20200101,29955,SensorCama (4),False,cook
20200101,29955,SensorMesaJantar (3),False,cook
20200101,29955,SensorCama (5),False,cook
20200101,29955,SensorMesaJantar,False,cook
20200101,29955,SensorCama (2),False,cook
20200101,29955,SensorSofa (1),False,cook
20200101,29955,SensorPia,False,cook
20200101,29955,SensorMesaJantar (2),False,cook
20200101,29955,SensorRack,False,cook
20200101,29955,SensorCama (1),False,cook
20200101,29955,SensorArmario,False,cook
20200101,29955,SensorRack (1),False,cook
20200101,29955,SensorArmario (1),False,cook
20200101,29955,SensorGeladeira,False,cook
20200101,29955,SensorMesaJantar (1),False,cook
20200101,29955,SensorSofa (2),False,cook
20200101,29955,SensorCama (3),False,cook
20200101,29955,SensorMesaCorredor,False,cook
20200101,29955,SensorSofa,False,cook
20200101,29955,SensorDeTestes,False,cook
20200101,29984,SensorBaseBox,False,cook
20200101,29984,SensorArmario (2),False,cook
20200101,29984,SensorCama,False,cook
20200101,29984,SensorFogao,True,cook
20200101,29984,SensorMesaJantar (4),False,cook
20200101,29984,SensorCama (4),False,cook
20200101,29984,SensorMesaJantar (3),False,cook
20200101,29984,SensorCama (5),False,cook
20200101,29984,SensorMesaJantar,False,cook
20200101,29984,SensorCama (2),False,cook
20200101,29984,SensorSofa (1),False,cook
20200101,29984,SensorPia,False,cook
20200101,29984,SensorMesaJantar (2),False,cook
20200101,29984,SensorRack,False,cook
20200101,29984,SensorCama (1),False,cook
20200101,29984,SensorArmario,False,cook
20200101,29984,SensorRack (1),False,cook
20200101,29984,SensorArmario (1),False,cook
20200101,29984,SensorGeladeira,False,cook
20200101,29984,SensorMesaJantar (1),False,cook
20200101,29984,SensorSofa (2),False,cook
20200101,29984,SensorCama (3),False,cook
20200101,29984,SensorMesaCorredor,False,cook
20200101,29984,SensorSofa,False,cook
20200101,29984,SensorDeTestes,False,cook
20200101,30013,SensorBaseBox,False,cook
20200101,30013,SensorArmario (2),False,cook
20200101,30013,SensorCama,False,cook
20200101,30013,SensorFogao,True,cook
20200101,30013,SensorMesaJantar (4),False,cook
20200101,30013,SensorCama (4),False,cook
20200101,30013,SensorMesaJantar (3),False,cook
20200101,30013,SensorCama (5),False,cook
20200101,30013,SensorMesaJantar,False,cook
20200101,30013,SensorCama (2),False,cook
20200101,30013,SensorSofa (1),False,cook
20200101,30013,SensorPia,False,cook
20200101,30013,SensorMesaJantar (2),False,cook
20200101,30013,SensorRack,False,cook
20200101,30013,SensorCama (1),False,cook
